Period,Total Industry Assets
1991Q1,3289174300
1991Q2,3292761000
1991Q3,3300241400
1991Q4,3376498900
1992Q1,3397805500
1992Q2,3399133700
1992Q3,3411138700
1992Q4,3472512900
1993Q1,3461608300
1993Q2,3510238700
1993Q3,3572503500
1993Q4,3620395300
1994Q1,3666789200
1994Q2,3710545700
1994Q3,3762829400
1994Q4,3839400000
1995Q1,3905521400
1995Q2,4009492800
1995Q3,4076395100
1995Q4,4167201700
1996Q1,4206934900
1996Q2,4235222300
1996Q3,4253831700
1996Q4,4369066200
1997Q1,4466554000
1997Q2,4562930900
1997Q3,4623660300
1997Q4,4784943000
1998Q1,4891409000
1998Q2,4951531400
1998Q3,5029129000
1998Q4,5267197600
1999Q1,5262594600
1999Q2,5266046000
1999Q3,5301185300
1999Q4,5513386700
2000Q1,5655036100
2000Q2,5809001200
2000Q3,5906764800
2000Q4,6054722600
2001Q1,6166179100
2001Q2,6203994600
2001Q3,6289739700
2001Q4,6430821200
2002Q1,6372665000
2002Q2,6389029200
2002Q3,6554934400
2002Q4,6876402300
2003Q1,6983349700
2003Q2,7173707600
2003Q3,7280520400
2003Q4,7310341800
2004Q1,7488083900
2004Q2,7675548600
2004Q3,7874459600
2004Q4,8026157000
2005Q1,8172143900
2005Q2,8359242700
2005Q3,8538899400
2005Q4,8730675900
2006Q1,8905050900
2006Q2,9179190200
2006Q3,9311679700
2006Q4,9682399000
2007Q1,9855948400
2007Q2,9980229800
2007Q3,10286199700
2007Q4,10765157900
2008Q1,11017373300
2008Q2,10992705500
2008Q3,11059122300
2008Q4,12181866100
2009Q1,12109173900
2009Q2,11991347000
2009Q3,11697349900
2009Q4,11782416300
2010Q1,11671531400
2010Q2,11762151700
2010Q3,11815990600
2010Q4,11894058600
2011Q1,11925349700
2011Q2,12215038600
2011Q3,12403827700
2011Q4,12530877300
2012Q1,12649726500
2012Q2,12695869300
2012Q3,12831023400
2012Q4,13010883600
2013Q1,13266051100
2013Q2,13442629800
2013Q3,13665520900
2013Q4,13958838800
2014Q1,14222186000
2014Q2,14506866500
2014Q3,14843773100
2014Q4,15030202100
